Month_year,City of London,Barking & Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith & Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington & Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster
,E09000001,E09000002,E09000003,E09000004,E09000005,E09000006,E09000007,E09000008,E09000009,E09000010,E09000011,E09000012,E09000013,E09000014,E09000015,E09000016,E09000017,E09000018,E09000019,E09000020,E09000021,E09000022,E09000023,E09000024,E09000025,E09000026,E09000027,E09000028,E09000029,E09000030,E09000031,E09000032,E09000033
Jan-01,"2,84,262","82,343","1,75,475","1,11,194","1,48,306","1,53,615","2,65,515","1,27,511","1,59,483","1,25,851","1,15,168","1,39,102","2,59,723","1,54,406","1,60,152","1,15,688","1,38,252","1,43,069","2,04,628","4,07,739","1,71,213","1,60,849","1,12,637","1,56,449","1,01,578","1,31,477","2,30,335","1,54,901","1,30,511","1,50,152","1,08,104","1,92,543","2,82,566"
Feb-01,"1,98,137","83,266","1,78,108","1,11,439","1,50,110","1,54,097","2,67,786","1,28,762","1,60,992","1,27,577","1,17,034","1,41,566","2,62,334","1,54,803","1,60,027","1,17,318","1,38,408","1,46,554","2,02,308","3,94,886","1,71,737","1,55,593","1,13,752","1,57,722","1,02,268","1,32,580","2,30,621","1,54,960","1,29,928","1,49,264","1,09,479","1,96,030","2,83,984"
Mar-01,"1,89,033","84,058","1,78,226","1,12,505","1,50,628","1,54,933","2,73,059","1,27,734","1,63,828","1,28,245","1,19,767","1,47,261","2,61,777","1,56,997","1,61,573","1,17,480","1,39,011","1,47,969","2,06,572","4,06,200","1,69,882","1,55,945","1,14,770","1,61,460","1,01,770","1,33,060","2,29,361","1,56,712","1,30,747","1,54,792","1,09,564","1,96,606","2,81,982"
Apr-01,"2,05,494","83,965","1,78,813","1,11,829","1,51,874","1,56,883","2,68,947","1,25,019","1,65,509","1,30,619","1,22,775","1,50,332","2,66,792","1,57,679","1,63,383","1,19,482","1,38,946","1,47,752","2,13,431","4,18,016","1,71,664","1,57,274","1,14,231","1,62,141","1,03,036","1,34,457","2,30,973","1,56,260","1,32,385","1,57,147","1,11,125","1,98,933","2,76,752"
May-01,"2,23,459","85,124","1,78,636","1,12,377","1,54,762","1,58,599","2,69,837","1,25,998","1,67,827","1,31,946","1,24,136","1,53,291","2,66,686","1,61,976","1,65,677","1,19,974","1,39,920","1,50,816","2,21,715","4,17,771","1,73,684","1,64,437","1,16,455","1,62,610","1,04,871","1,36,698","2,30,165","1,63,853","1,34,704","1,60,949","1,13,053","2,05,136","2,87,045"
Jun-01,"2,42,435","86,732","1,81,194","1,13,776","1,55,900","1,60,098","2,71,558","1,29,022","1,68,655","1,34,910","1,24,483","1,54,879","2,73,159","1,66,580","1,68,839","1,22,658","1,42,791","1,51,510","2,24,506","4,23,411","1,77,536","1,67,111","1,19,134","1,64,800","1,06,640","1,39,840","2,35,017","1,70,489","1,35,751","1,63,246","1,16,171","2,07,820","2,92,515"
Jul-01,"2,30,700","89,194","1,83,941","1,16,938","1,57,755","1,61,766","2,80,482","1,32,897","1,69,734","1,36,380","1,25,711","1,55,749","2,77,209","1,68,389","1,72,003","1,24,541","1,45,971","1,55,179","2,28,078","4,34,521","1,80,584","1,69,085","1,22,179","1,68,755","1,06,835","1,42,238","2,47,014","1,70,658","1,38,220","1,65,912","1,18,344","2,10,317","3,03,695"
Aug-01,"2,31,632","90,462","1,87,691","1,19,312","1,60,832","1,64,849","2,86,872","1,35,558","1,73,686","1,39,076","1,27,161","1,57,535","2,83,705","1,70,872","1,75,232","1,26,651","1,48,787","1,57,799","2,28,758","4,51,028","1,82,159","1,69,960","1,24,313","1,72,130","1,09,276","1,44,220","2,53,143","1,67,061","1,39,329","1,67,692","1,21,751","2,09,549","3,09,873"
Sep-01,"2,29,806","92,610","1,90,954","1,21,239","1,63,139","1,67,086","2,87,807","1,37,157","1,77,658","1,41,172","1,31,223","1,57,329","2,80,671","1,69,860","1,76,904","1,29,047","1,50,342","1,61,880","2,29,523","4,38,215","1,85,946","1,69,825","1,26,776","1,71,618","1,12,468","1,47,292","2,55,011","1,65,832","1,42,594","1,69,186","1,24,842","2,12,200","3,14,580"
Oct-01,"2,63,887","93,584","1,94,320","1,21,901","1,64,317","1,70,203","2,88,837","1,38,691","1,79,856","1,43,385","1,32,882","1,60,267","2,78,128","1,73,391","1,78,078","1,31,437","1,52,206","1,61,090","2,27,413","4,24,833","1,86,103","1,68,657","1,30,252","1,73,027","1,16,956","1,50,244","2,51,600","1,68,575","1,45,102","1,70,268","1,29,079","2,12,575","3,10,590"
Nov-01,"3,46,458","95,918","1,98,610","1,23,381","1,63,992","1,70,870","2,90,868","1,40,118","1,77,919","1,44,954","1,34,608","1,60,707","2,75,412","1,70,919","1,79,300","1,32,255","1,53,238","1,60,576","2,26,131","4,12,659","1,87,917","1,67,426","1,30,291","1,75,441","1,19,033","1,53,409","2,51,210","1,72,284","1,47,508","1,71,930","1,31,280","2,09,695","3,02,516"
Dec-01,"3,62,204","96,712","2,00,792","1,22,434","1,65,833","1,72,583","2,91,559","1,41,645","1,77,139","1,44,443","1,34,892","1,62,859","2,77,431","1,75,653","1,81,834","1,32,325","1,55,652","1,59,282","2,24,757","4,12,275","1,87,446","1,70,055","1,31,207","1,78,400","1,20,426","1,53,535","2,51,549","1,72,250","1,48,143","1,69,533","1,33,329","2,10,753","3,07,169"
Jan-02,"3,44,239","98,713","2,03,249","1,24,283","1,68,671","1,73,150","2,90,461","1,43,108","1,78,154","1,44,678","1,34,327","1,65,007","2,80,576","1,73,396","1,84,582","1,32,721","1,56,059","1,63,947","2,26,068","4,07,492","1,89,539","1,77,905","1,31,763","1,80,271","1,22,669","1,53,608","2,51,202","1,73,721","1,49,153","1,70,071","1,32,999","2,11,791","3,04,679"
Feb-02,"2,84,015","1,00,229","2,02,713","1,24,611","1,71,147","1,72,833","2,89,270","1,44,641","1,81,826","1,45,085","1,35,252","1,64,673","2,78,990","1,74,701","1,86,779","1,34,022","1,57,914","1,65,021","2,31,520","4,06,516","1,89,132","1,78,205","1,33,857","1,81,399","1,23,808","1,53,902","2,46,813","1,74,836","1,50,547","1,72,918","1,35,039","2,11,816","3,14,895"
Mar-02,"2,53,697","1,01,633","2,04,694","1,26,576","1,71,357","1,72,972","2,89,615","1,46,049","1,85,613","1,47,046","1,39,366","1,67,387","2,78,959","1,77,088","1,88,198","1,36,221","1,58,633","1,65,963","2,38,189","4,14,376","1,89,180","1,79,062","1,35,280","1,84,128","1,24,846","1,55,689","2,51,782","1,75,508","1,50,800","1,77,295","1,35,544","2,13,660","3,12,817"
Apr-02,"2,45,313","1,03,885","2,08,077","1,27,714","1,72,097","1,73,894","2,96,979","1,48,537","1,90,470","1,49,140","1,44,155","1,65,131","2,84,501","1,81,787","1,90,141","1,36,998","1,62,963","1,64,996","2,45,034","4,40,746","1,92,404","1,76,703","1,35,654","1,85,372","1,26,328","1,59,353","2,55,256","1,79,560","1,51,987","1,79,749","1,37,582","2,22,258","3,25,626"
May-02,"2,27,281","1,05,761","2,14,594","1,31,293","1,75,552","1,77,864","3,08,913","1,51,795","1,93,306","1,51,451","1,48,484","1,70,709","2,93,491","1,89,355","1,93,423","1,41,335","1,66,455","1,67,564","2,46,648","4,67,441","1,97,285","1,81,198","1,37,314","1,88,835","1,29,553","1,62,374","2,64,703","1,83,002","1,54,537","1,81,132","1,38,977","2,31,020","3,31,670"
Jun-02,"2,53,130","1,08,615","2,19,793","1,34,081","1,82,500","1,82,876","3,19,466","1,54,509","1,97,100","1,54,921","1,45,616","1,74,935","3,02,987","1,93,782","1,97,825","1,45,488","1,70,565","1,72,347","2,48,584","4,86,673","2,01,145","1,86,023","1,38,461","1,91,746","1,34,249","1,66,465","2,69,410","1,86,832","1,60,846","1,86,440","1,42,690","2,37,993","3,47,473"
Jul-02,"2,62,428","1,11,983","2,27,129","1,37,176","1,87,986","1,88,125","3,23,154","1,57,328","1,99,214","1,59,583","1,47,355","1,85,328","3,14,411","2,02,505","2,03,051","1,50,944","1,73,341","1,76,279","2,49,039","4,97,538","2,02,909","1,92,324","1,43,013","1,97,097","1,37,144","1,69,942","2,74,088","1,86,525","1,65,802","1,88,469","1,47,919","2,40,343","3,53,874"
Aug-02,"2,74,016","1,15,548","2,30,537","1,39,794","1,92,243","1,93,540","3,25,074","1,60,483","2,04,196","1,63,246","1,49,380","1,89,485","3,17,689","2,07,606","2,09,016","1,54,413","1,77,120","1,79,637","2,53,403","4,90,267","2,06,661","2,00,269","1,47,156","2,01,581","1,42,354","1,75,651","2,86,131","1,89,280","1,69,495","1,91,310","1,52,343","2,45,806","3,53,259"
Sep-02,"2,77,047","1,18,331","2,33,748","1,43,736","1,97,198","1,98,220","3,32,370","1,63,974","2,08,311","1,69,030","1,54,112","1,94,081","3,20,564","2,08,526","2,15,299","1,57,757","1,80,199","1,83,865","2,58,495","4,86,338","2,12,565","2,03,606","1,51,412","2,05,933","1,45,652","1,79,034","2,88,467","1,92,011","1,70,863","1,92,486","1,58,905","2,47,282","3,50,582"
Oct-02,"2,71,941","1,22,940","2,32,184","1,47,674","2,00,451","2,00,673","3,33,820","1,67,439","2,13,391","1,73,956","1,55,861","1,94,401","3,15,646","2,10,448","2,18,203","1,62,823","1,84,423","1,85,642","2,58,255","4,74,862","2,15,958","2,03,613","1,54,276","2,07,626","1,51,408","1,81,965","2,93,829","1,91,919","1,72,734","1,99,561","1,63,081","2,45,428","3,51,142"
Nov-02,"2,80,283","1,27,316","2,35,730","1,50,898","2,03,800","2,01,515","3,32,036","1,71,614","2,13,914","1,78,760","1,56,495","1,96,797","3,19,143","2,12,259","2,22,319","1,66,984","1,87,185","1,87,485","2,60,017","4,84,175","2,18,134","2,01,927","1,56,624","2,11,100","1,53,855","1,83,980","2,88,680","1,92,189","1,75,178","2,01,935","1,66,378","2,43,014","3,65,271"
Dec-02,"2,62,197","1,31,709","2,36,506","1,53,740","2,07,775","2,04,091","3,28,996","1,74,796","2,15,626","1,80,595","1,58,655","1,95,298","3,22,552","2,18,163","2,23,334","1,69,086","1,90,909","1,88,839","2,57,882","4,68,164","2,22,347","2,04,576","1,60,359","2,13,488","1,57,601","1,90,454","2,89,911","1,90,828","1,78,378","2,06,096","1,66,195","2,43,256","3,64,181"
Jan-03,"2,61,645","1,34,750","2,44,239","1,56,081","2,07,790","2,07,299","3,22,511","1,77,880","2,14,973","1,82,113","1,61,222","1,97,439","3,29,178","2,17,525","2,25,645","1,70,834","1,93,806","1,92,798","2,64,412","4,66,463","2,24,875","2,05,905","1,65,803","2,17,469","1,60,247","1,95,246","2,91,796","1,94,070","1,81,962","2,06,385","1,69,942","2,46,300","3,66,519"
Feb-03,"2,63,992","1,38,195","2,45,752","1,56,971","2,10,608","2,11,134","3,06,183","1,79,868","2,18,803","1,84,682","1,65,825","2,00,331","3,21,415","2,17,735","2,23,024","1,73,978","1,95,772","1,93,996","2,58,846","4,52,671","2,26,229","2,07,346","1,69,972","2,17,265","1,61,952","1,98,761","2,98,387","1,90,033","1,82,932","2,08,254","1,71,680","2,48,156","3,63,275"
Mar-03,"2,91,969","1,42,207","2,50,708","1,59,465","2,08,885","2,11,402","2,99,760","1,81,540","2,19,128","1,88,076","1,68,575","2,00,122","3,16,027","2,16,615","2,25,332","1,76,068","1,98,077","1,93,665","2,56,381","4,55,466","2,23,739","2,03,618","1,72,141","2,16,172","1,63,807","2,00,009","2,92,377","1,90,916","1,83,159","2,06,864","1,72,572","2,48,523","3,64,158"
Apr-03,"2,95,174","1,42,192","2,46,175","1,61,244","2,11,477","2,12,583","3,06,134","1,83,801","2,21,546","1,88,273","1,69,465","1,97,529","3,01,625","2,16,014","2,27,626","1,78,146","2,00,618","1,91,366","2,50,831","4,56,330","2,23,337","2,01,857","1,70,721","2,15,061","1,66,330","1,97,020","2,88,975","1,95,098","1,84,737","2,08,224","1,72,688","2,48,378","3,70,044"
May-03,"2,84,860","1,42,797","2,44,449","1,63,925","2,13,799","2,13,655","3,21,380","1,85,932","2,21,371","1,89,206","1,70,428","1,99,538","3,07,257","2,17,976","2,33,540","1,78,046","2,01,706","1,93,575","2,56,521","4,52,104","2,22,683","1,97,154","1,69,817","2,15,674","1,67,642","1,99,012","2,79,880","2,02,763","1,87,991","2,08,306","1,75,423","2,52,848","3,67,964"
Jun-03,"2,67,208","1,41,957","2,44,464","1,66,075","2,17,834","2,15,302","3,27,338","1,87,553","2,21,573","1,89,793","1,72,951","2,00,679","3,09,347","2,18,913","2,33,366","1,78,076","2,03,484","1,96,987","2,55,116","4,64,442","2,25,155","1,96,732","1,70,644","2,16,969","1,67,281","1,99,983","2,85,492","2,03,243","1,90,259","2,08,760","1,77,061","2,51,283","3,64,480"
Jul-03,"2,60,204","1,42,223","2,50,826","1,68,190","2,19,436","2,16,463","3,34,896","1,87,761","2,20,705","1,92,574","1,74,037","2,06,534","3,21,781","2,23,833","2,33,851","1,79,133","2,02,502","2,02,809","2,63,354","4,55,925","2,27,790","1,98,036","1,72,207","2,20,577","1,67,561","2,05,246","2,92,121","2,02,724","1,90,809","2,06,606","1,77,200","2,54,229","3,61,780"
Aug-03,"2,45,449","1,42,792","2,54,882","1,68,928","2,19,191","2,16,492","3,37,758","1,86,702","2,21,299","1,93,342","1,73,374","2,02,239","3,22,322","2,23,442","2,33,017","1,79,444","2,04,660","2,02,840","2,69,031","4,54,476","2,32,658","2,03,688","1,71,611","2,23,092","1,68,209","2,06,284","2,98,188","2,02,125","1,90,394","2,08,038","1,75,879","2,57,091","3,54,093"
Sep-03,"2,43,184","1,41,707","2,57,504","1,67,863","2,19,051","2,19,493","3,38,320","1,88,268","2,22,089","1,93,259","1,71,949","2,02,412","3,21,219","2,22,643","2,35,364","1,82,260","2,05,899","2,03,449","2,72,336","4,48,908","2,33,924","2,06,706","1,72,035","2,25,198","1,71,968","2,08,743","3,01,336","2,04,450","1,90,487","2,07,149","1,75,410","2,62,224","3,63,351"
Oct-03,"2,52,980","1,45,136","2,57,724","1,68,104","2,23,658","2,21,353","3,31,384","1,89,355","2,24,164","1,94,368","1,73,905","2,00,271","3,19,898","2,21,470","2,38,435","1,83,598","2,09,120","2,00,921","2,65,432","4,59,283","2,32,964","2,06,501","1,70,366","2,23,729","1,72,906","2,10,845","2,98,287","2,01,849","1,90,457","2,06,803","1,74,870","2,61,101","3,60,222"
Nov-03,"2,77,515","1,46,331","2,57,772","1,67,061","2,22,469","2,22,892","3,27,200","1,90,747","2,26,069","1,95,174","1,74,891","2,02,978","3,24,283","2,23,904","2,39,536","1,85,524","2,08,752","2,02,797","2,63,284","4,71,114","2,32,017","2,06,517","1,71,763","2,26,241","1,76,841","2,11,093","3,01,064","2,02,735","1,90,466","2,07,685","1,77,734","2,54,952","3,62,524"
Dec-03,"3,05,556","1,49,701","2,60,059","1,69,878","2,23,823","2,23,849","3,23,782","1,90,002","2,28,550","1,96,011","1,75,889","2,02,785","3,31,317","2,23,771","2,42,445","1,84,307","2,08,096","2,03,931","2,69,480","4,88,704","2,33,996","2,06,467","1,73,550","2,27,284","1,76,507","2,10,621","3,02,113","2,05,001","1,90,136","2,11,745","1,80,451","2,55,025","3,63,182"
Jan-04,"3,26,913","1,50,115","2,59,868","1,69,115","2,23,971","2,24,284","3,29,660","1,90,401","2,29,859","1,95,656","1,77,101","2,07,985","3,28,761","2,24,728","2,43,354","1,85,017","2,07,222","2,06,356","2,74,778","4,95,894","2,35,488","2,12,766","1,76,913","2,32,251","1,76,329","2,12,380","3,02,973","2,06,464","1,90,195","2,12,402","1,84,384","2,55,331","3,64,542"
Feb-04,"3,01,092","1,52,688","2,61,559","1,73,114","2,27,110","2,27,847","3,32,300","1,90,354","2,30,519","1,95,880","1,79,158","2,06,814","3,27,738","2,26,239","2,45,389","1,86,885","2,08,924","2,07,010","2,75,434","5,06,469","2,37,659","2,11,752","1,78,311","2,30,461","1,76,489","2,14,753","3,06,591","2,08,637","1,90,673","2,14,314","1,84,587","2,57,263","3,66,039"
Mar-04,"2,72,731","1,53,591","2,61,478","1,73,004","2,27,753","2,29,637","3,39,717","1,92,275","2,31,657","1,96,929","1,81,747","2,15,626","3,31,533","2,29,519","2,43,904","1,90,287","2,10,814","2,06,206","2,77,706","5,04,555","2,39,521","2,13,243","1,77,692","2,27,851","1,79,859","2,18,063","3,08,336","2,13,347","1,92,155","2,10,840","1,85,933","2,61,677","3,62,899"
Apr-04,"2,69,514","1,54,014","2,63,774","1,76,036","2,30,879","2,32,599","3,36,670","1,94,279","2,34,888","2,00,131","1,84,719","2,13,591","3,40,684","2,32,300","2,43,283","1,91,168","2,13,142","2,08,915","2,82,088","4,90,464","2,42,238","2,13,974","1,79,110","2,29,089","1,82,634","2,21,244","3,13,674","2,15,441","1,94,608","2,14,315","1,86,612","2,64,517","3,78,992"
May-04,"2,80,062","1,54,361","2,69,023","1,76,749","2,35,298","2,31,873","3,43,102","1,96,513","2,38,668","2,05,044","1,87,003","2,14,565","3,47,520","2,31,966","2,47,296","1,93,757","2,13,222","2,13,997","2,85,108","4,88,594","2,45,145","2,16,127","1,83,462","2,31,278","1,82,238","2,21,971","3,12,684","2,19,072","1,97,569","2,16,789","1,89,153","2,68,249","3,87,159"
Jun-04,"2,97,421","1,56,951","2,72,859","1,79,977","2,39,200","2,32,688","3,54,540","1,99,033","2,43,308","2,08,076","1,87,009","2,10,882","3,49,700","2,33,500","2,54,110","1,95,389","2,14,923","2,17,887","2,82,674","4,92,778","2,47,341","2,20,817","1,85,328","2,38,639","1,83,560","2,22,683","3,20,264","2,16,785","2,02,145","2,22,638","1,91,249","2,73,489","3,94,039"
Jul-04,"2,98,293","1,59,227","2,76,811","1,81,015","2,42,024","2,33,160","3,68,811","2,00,128","2,46,214","2,09,454","1,88,353","2,12,642","3,55,963","2,37,854","2,57,768","1,96,575","2,16,563","2,17,673","2,87,037","5,34,860","2,51,907","2,23,564","1,84,963","2,40,563","1,86,131","2,23,537","3,24,732","2,18,908","2,06,055","2,22,295","1,94,032","2,80,547","3,91,718"
Aug-04,"3,07,094","1,60,620","2,76,712","1,83,350","2,44,169","2,37,290","3,70,139","2,01,797","2,48,541","2,10,187","1,90,624","2,19,016","3,58,497","2,42,527","2,59,562","1,96,975","2,19,495","2,18,651","2,92,355","5,47,674","2,54,989","2,30,938","1,85,037","2,45,235","1,90,368","2,26,781","3,29,563","2,18,635","2,08,743","2,25,156","1,94,118","2,84,246","3,87,130"
Sep-04,"3,05,126","1,62,821","2,78,219","1,83,688","2,41,685","2,39,175","3,64,530","2,02,307","2,48,637","2,12,091","1,91,213","2,22,120","3,57,918","2,46,702","2,56,244","1,99,933","2,19,807","2,23,480","2,95,199","5,59,286","2,53,122","2,33,753","1,88,616","2,49,120","1,92,660","2,29,282","3,27,566","2,20,729","2,10,029","2,25,016","1,94,742","2,85,033","3,86,130"
Oct-04,"2,89,912","1,64,422","2,78,320","1,83,939","2,39,922","2,40,650","3,61,902","2,04,325","2,46,355","2,12,749","1,92,177","2,26,989","3,48,945","2,43,634","2,58,933","2,05,127","2,20,023","2,25,262","2,92,817","5,23,246","2,52,908","2,30,775","1,90,003","2,47,228","1,92,757","2,29,412","3,20,810","2,22,310","2,09,698","2,25,689","1,96,152","2,80,897","3,74,054"
Nov-04,"3,33,075","1,65,172","2,82,306","1,85,354","2,39,703","2,40,439","3,64,408","2,05,519","2,47,226","2,12,126","1,92,071","2,30,666","3,38,637","2,44,074","2,56,766","2,05,785","2,21,945","2,23,434","2,92,578","5,17,540","2,48,400","2,27,754","1,90,486","2,44,719","1,92,817","2,30,366","3,17,197","2,22,961","2,10,496","2,24,487","1,97,816","2,77,104","3,80,433"
Dec-04,"3,31,161","1,64,130","2,81,320","1,84,354","2,40,567","2,43,910","3,56,394","2,06,133","2,46,591","2,11,855","1,91,549","2,31,231","3,34,676","2,42,139","2,60,893","2,05,011","2,22,273","2,21,054","2,93,591","4,84,880","2,48,371","2,27,204","1,88,781","2,40,751","1,92,322","2,24,540","3,14,102","2,19,558","2,09,585","2,25,902","1,97,755","2,71,443","3,79,609"
Jan-05,"3,30,363","1,64,484","2,82,820","1,86,454","2,39,247","2,43,767","3,45,132","2,06,825","2,44,937","2,11,130","1,89,219","2,30,551","3,36,816","2,45,217","2,57,111","2,02,925","2,21,717","2,22,306","2,93,762","4,77,958","2,45,040","2,26,726","1,88,192","2,42,921","1,91,246","2,26,922","3,16,809","2,19,026","2,09,205","2,28,493","1,94,194","2,74,508","3,93,894"
Feb-05,"2,88,867","1,62,324","2,77,154","1,83,915","2,36,620","2,42,397","3,41,746","2,04,754","2,41,052","2,11,116","1,89,204","2,29,170","3,46,280","2,43,986","2,57,059","2,03,611","2,19,852","2,22,042","2,88,181","4,80,086","2,44,935","2,24,800","1,87,800","2,44,609","1,92,277","2,23,392","3,14,194","2,16,178","2,07,733","2,26,089","1,92,179","2,78,445","4,00,299"
Mar-05,"3,04,851","1,61,927","2,74,216","1,84,119","2,37,428","2,38,904","3,48,785","2,04,802","2,39,429","2,11,401","1,92,632","2,28,688","3,49,363","2,44,793","2,51,164","2,03,092","2,18,712","2,20,400","2,88,641","4,89,291","2,46,080","2,20,863","1,86,851","2,45,454","1,91,365","2,26,004","3,17,435","2,21,309","2,08,081","2,25,128","1,92,514","2,83,375","4,05,885"
Apr-05,"3,17,398","1,62,771","2,72,772","1,83,311","2,36,872","2,38,928","3,59,728","2,02,976","2,42,940","2,12,264","1,93,388","2,26,578","3,62,157","2,41,793","2,52,761","2,02,330","2,19,045","2,18,101","2,88,103","5,07,964","2,47,395","2,21,561","1,87,387","2,44,941","1,92,854","2,22,297","3,20,604","2,24,161","2,10,105","2,29,518","1,94,379","2,87,490","4,02,955"
May-05,"3,11,442","1,64,000","2,73,841","1,84,686","2,37,562","2,41,306","3,69,411","2,04,439","2,44,911","2,14,255","1,93,666","2,21,698","3,60,542","2,43,903","2,52,667","2,02,101","2,20,477","2,22,725","2,91,803","5,18,054","2,54,013","2,22,759","1,89,785","2,46,662","1,90,856","2,24,881","3,28,421","2,25,807","2,11,344","2,27,543","1,95,431","2,87,136","4,02,717"
Jun-05,"2,82,866","1,65,770","2,79,515","1,87,768","2,39,887","2,42,091","3,79,377","2,03,802","2,45,663","2,13,362","1,94,593","2,19,994","3,69,193","2,44,979","2,55,996","2,03,464","2,24,088","2,23,951","2,95,461","5,27,082","2,52,876","2,27,386","1,91,904","2,46,706","1,93,028","2,25,825","3,31,299","2,25,154","2,12,564","2,27,355","1,98,182","2,85,915","4,01,073"
Jul-05,"2,83,641","1,62,428","2,79,928","1,86,667","2,44,437","2,40,890","3,80,976","2,04,598","2,47,401","2,13,662","1,98,118","2,23,342","3,69,952","2,48,278","2,57,427","2,03,792","2,26,213","2,26,293","2,98,333","5,40,566","2,56,554","2,33,889","1,92,330","2,48,309","1,94,183","2,26,540","3,30,099","2,23,525","2,10,958","2,19,297","1,98,532","2,88,397","4,00,865"
Aug-05,"3,05,351","1,64,000","2,82,066","1,88,106","2,46,147","2,39,541","3,91,166","2,03,256","2,48,384","2,11,684","1,99,233","2,27,955","3,79,162","2,51,347","2,57,613","2,03,954","2,26,830","2,22,772","3,02,706","5,29,996","2,53,237","2,35,728","1,90,430","2,47,853","1,95,870","2,27,046","3,25,284","2,26,800","2,10,938","2,21,285","2,00,141","2,90,915","4,04,889"
Sep-05,"3,10,906","1,63,111","2,83,148","1,87,908","2,44,752","2,37,971","3,86,496","2,03,882","2,49,674","2,12,393","2,00,148","2,34,596","3,74,904","2,49,705","2,57,170","2,05,618","2,25,352","2,25,055","3,03,348","5,42,761","2,56,960","2,37,332","1,92,725","2,49,511","1,94,370","2,28,809","3,22,138","2,28,759","2,10,881","2,20,635","2,00,104","2,89,514","4,01,667"
Oct-05,"3,38,837","1,64,179","2,83,024","1,89,435","2,43,405","2,37,522","3,83,714","2,04,015","2,46,674","2,11,578","2,00,622","2,30,247","3,68,196","2,47,557","2,56,085","2,06,847","2,24,284","2,24,672","3,03,764","5,32,195","2,52,041","2,31,104","1,94,980","2,47,275","1,93,764","2,28,013","3,23,562","2,27,659","2,08,818","2,22,259","2,00,675","2,82,207","3,95,130"
Nov-05,"3,27,256","1,62,695","2,83,421","1,88,695","2,46,766","2,36,593","3,66,351","2,04,773","2,43,406","2,13,840","2,02,391","2,29,982","3,67,354","2,43,696","2,55,039","2,06,240","2,24,279","2,24,167","2,95,605","5,40,675","2,53,615","2,32,129","1,94,486","2,45,088","1,95,198","2,28,012","3,26,104","2,25,182","2,08,103","2,26,387","2,00,694","2,80,702","3,86,803"
Dec-05,"3,39,626","1,62,642","2,81,611","1,87,080","2,47,157","2,37,525","3,67,259","2,04,766","2,43,992","2,13,899","2,02,913","2,32,443","3,66,988","2,44,594","2,53,900","2,04,594","2,23,949","2,22,567","2,91,277","5,55,847","2,51,130","2,31,958","1,93,544","2,45,706","1,97,653","2,29,887","3,27,478","2,25,043","2,05,837","2,33,558","1,99,861","2,81,580","3,96,443"
Jan-06,"3,16,121","1,62,340","2,82,334","1,88,013","2,47,766","2,40,255","3,68,710","2,04,536","2,47,594","2,14,069","2,02,180","2,38,246","3,74,797","2,50,587","2,53,829","2,02,616","2,25,770","2,26,229","2,94,170","5,65,247","2,55,200","2,36,766","1,94,170","2,44,083","1,98,196","2,32,310","3,30,499","2,25,643","2,08,052","2,36,133","2,00,760","2,84,765","4,06,413"
Feb-06,"3,23,653","1,63,024","2,81,120","1,87,236","2,46,055","2,41,718","3,73,670","2,07,312","2,51,239","2,13,136","2,01,112","2,40,260","3,67,483","2,51,056","2,55,883","2,04,846","2,25,183","2,29,422","3,03,689","5,69,195","2,53,180","2,34,359","1,95,055","2,46,921","1,95,776","2,33,950","3,31,927","2,26,407","2,09,393","2,32,895","2,01,812","2,85,742","4,20,423"
Mar-06,"3,25,106","1,62,004","2,81,674","1,87,450","2,46,766","2,43,141","3,77,340","2,08,650","2,50,284","2,12,404","2,00,844","2,39,023","3,78,032","2,55,333","2,58,052","2,06,050","2,27,319","2,31,388","3,10,486","5,70,415","2,54,284","2,35,911","1,93,740","2,46,235","1,93,713","2,32,673","3,35,319","2,27,549","2,11,152","2,28,655","2,01,594","2,94,538","4,22,314"
Apr-06,"3,19,580","1,64,204","2,83,206","1,89,194","2,46,980","2,43,914","3,82,933","2,09,106","2,51,679","2,14,323","1,99,346","2,41,951","3,81,058","2,53,211","2,59,436","2,08,976","2,26,108","2,33,698","3,18,786","5,81,164","2,54,843","2,37,767","1,93,773","2,52,105","1,95,140","2,33,449","3,39,898","2,30,589","2,11,560","2,34,134","2,01,965","2,99,740","4,25,662"
May-06,"3,13,126","1,66,048","2,86,462","1,89,827","2,49,086","2,44,571","3,89,596","2,08,380","2,55,038","2,15,853","2,01,997","2,44,604","3,94,582","2,55,603","2,62,515","2,08,243","2,28,713","2,35,850","3,23,469","5,90,768","2,58,061","2,46,459","1,96,774","2,53,408","1,99,912","2,34,716","3,42,562","2,37,898","2,11,970","2,37,665","2,03,055","3,06,298","4,25,645"
Jun-06,"3,04,977","1,69,013","2,87,725","1,91,156","2,52,877","2,47,109","3,92,849","2,09,865","2,59,625","2,18,910","2,06,043","2,52,532","4,01,934","2,62,006","2,63,327","2,09,471","2,29,688","2,38,417","3,24,999","5,99,841","2,64,705","2,49,296","2,01,256","2,54,901","2,04,067","2,37,258","3,45,831","2,41,407","2,15,029","2,41,094","2,05,951","3,10,190","4,40,489"
